last_name, first_name,player_id,year,p_game,p_formatted_ip,p_total_pitches,
Ramirez, Yohan,670990,2022,30,37.1,620,
Foley, Jason,671345,2022,60,60.1,961,
Detmers, Reid,672282,2022,25,129.0,2181,
Perez, Cionel,672335,2022,66,57.2,901,
Hernandez, Carlos,672578,2022,27,56.0,1035,
Contreras, Roansy,672710,2022,21,95.0,1588,
Adon, Joan,672851,2022,14,64.2,1204,
Henry, Tommy,674072,2022,9,47.0,773,
Strider, Spencer,675911,2022,31,131.2,2277,
Karinchak, James,675916,2022,38,39.0,704,
Howard, Spencer,675921,2022,10,37.2,692,
Snider, Collin,676092,2022,42,34.1,583,
Abbott, Cory,676265,2022,16,48.0,845,
Whitlock, Garrett,676477,2022,31,78.1,1166,
Fleming, Josh,676596,2022,10,35.0,662,
Sears, JP,676664,2022,17,70.0,1079,
Vest, Will,676684,2022,59,63.0,1083,
Crawford, Kutter,676710,2022,21,77.1,1296,
Hughes, Brandon,676714,2022,57,57.2,973,
Marinaccio, Ron,676760,2022,40,44.0,757,
Ashby, Aaron,676879,2022,27,107.1,1878,
Garcia, Luis,677651,2022,28,157.1,2468,
Bello, Brayan,678394,2022,13,57.1,997,
Gray, Josiah,680686,2022,28,148.2,2597,
Bradish, Kyle,680694,2022,23,117.2,1993,
Sandlin, Nick,680704,2022,46,44.0,740,
Winder, Josh,680739,2022,15,67.0,1114,
Wantz, Andrew,681806,2022,42,50.1,831,
Vesia, Alex,681911,2022,63,54.1,951,
Hill, Garrett,682051,2022,17,60.1,1019,
Murfee, Penn,682171,2022,64,69.1,1003,
Pepiot, Ryan,686752,2022,9,36.1,737,
Brieske, Beau,689225,2022,15,81.2,1287,
Elder, Bryce,693821,2022,10,54.0,873,
Wainwright, Adam,425794,2021,32,206.1,3068,
Greinke, Zack,425844,2021,30,171.0,2577,
Santana, Ervin,429722,2021,38,65.1,1063,
Petit, Yusmeiro,433589,2021,78,78.0,1082,
Jansen, Kenley,445276,2021,69,69.0,1071,
Detwiler, Ross,446321,2021,53,52.1,888,
Kluber, Corey,446372,2021,16,80.0,1338,
Hill, Rich,448179,2021,32,158.2,2496,
Doolittle, Sean,448281,2021,56,49.2,866,
Guerra, Junior,448855,2021,41,65.1,1225,
Morton, Charlie,450203,2021,33,185.2,2987,
Davis, Wade,451584,2021,40,42.2,769,
Lester, Jon,452657,2021,28,141.1,2380,
Kennedy, Ian,453178,2021,55,56.1,899,
Miller, Andrew,453192,2021,40,36.0,620,
Watson, Tony,453265,2021,62,57.1,866,
Bard, Daniel,453268,2021,67,65.2,1217,
LeBlanc, Wade,453281,2021,18,49.0,794,
Parker, Blake,453284,2021,47,43.2,713,
Scherzer, Max,453286,2021,30,179.1,2821,
Melancon, Mark,453343,2021,64,64.2,1053,
Arrieta, Jake,453562,2021,24,98.2,1746,
Martin, Chris,455119,2021,46,43.1,663,
Price, David,456034,2021,39,73.2,1178,
Cueto, Johnny,456501,2021,22,114.2,1878,
Happ, J.A.,457918,2021,30,152.1,2674,
Lynn, Lance,458681,2021,28,157.0,2608,
Tomlin, Josh,458708,2021,35,49.1,808,
McGee, Jake,459429,2021,62,59.2,878,
Soria, Joakim,465657,2021,41,37.1,605,
Chacin, Jhoulys,468504,2021,46,64.1,1070,
Carrasco, Carlos,471911,2021,12,53.2,889,
Anderson, Brett,474463,2021,24,96.0,1508,
Luetge, Lucas,476595,2021,57,72.1,1241,
Kershaw, Clayton,477132,2021,22,121.2,1806,
Miley, Wade,489119,2021,28,163.0,2592,
Romo, Sergio,489265,2021,66,61.2,1043,
Stammen, Craig,489334,2021,67,88.1,1308,
Valdez, Cesar,491624,2021,39,46.0,757,
Ottavino, Adam,493603,2021,69,62.0,1146,
Guerra, Deolis,500610,2021,53,65.2,1086,
Quintana, Jose,500779,2021,29,63.0,1240,
Pineda, Michael,501381,2021,22,109.1,1707,
Alvarez, Jose,501625,2021,67,64.2,970,
Smith, Joe,501925,2021,50,39.2,650,
Minor, Mike,501985,2021,28,158.2,2621,
Gibson, Kyle,502043,2021,31,182.0,2881,
Cobb, Alex,502171,2021,18,93.1,1579,
Espino, Paolo,502179,2021,35,109.2,1735,
Boxberger, Brad,502202,2021,71,64.2,1074,
Cahill, Trevor,502239,2021,9,37.0,665,
Anderson, Chase,502624,2021,14,48.0,852,
Holland, Derek,502706,2021,39,49.2,835,
Peralta, Wily,503449,2021,19,93.2,1554,
Dolis, Rafael,503569,2021,39,32.0,605,
Darvish, Yu,506433,2021,30,166.1,2769,
Colome, Alex,517008,2021,67,65.0,1102,
Bumgarner, Madison,518516,2021,26,146.1,2294,
Cishek, Steve,518553,2021,74,68.1,1255,
Diekman, Jake,518617,2021,67,60.2,1118,
Duffy, Danny,518633,2021,13,61.0,1009,
Harvey, Matt,518774,2021,28,127.2,2232,
Holland, Greg,518813,2021,57,55.2,997,
Kelly, Merrill,518876,2021,27,158.0,2425,
Kimbrel, Craig,518886,2021,63,59.2,1008,
Moore, Matt,519043,2021,24,73.0,1254,
Pressly, Ryan,519151,2021,64,64.0,956,
Sale, Chris,519242,2021,9,42.2,736,
Smith, Will,519293,2021,71,68.0,1079,
Strickland, Hunter,519326,2021,57,58.2,981,
Hendriks, Liam,521230,2021,69,71.0,1131,
Kelly, Joe,523260,2021,48,44.0,712,
Perez, Martin,527048,2021,36,114.0,1860,
Castellanos, Humberto,528748,2021,14,45.2,726,
Shoemaker, Matt,533167,2021,16,60.1,1064,
Cisnero, Jose,542585,2021,67,61.2,1067,
Anderson, Tyler,542881,2021,31,167.0,2602,
Andriese, Matt,542882,2021,34,48.1,855,
Armstrong, Shawn,542888,2021,31,36.0,685,
Bass, Anthony,542914,2021,70,61.1,959,
Bleier, Richard,542947,2021,68,58.0,685,
Cole, Gerrit,543037,2021,30,181.1,2969,
DeSclafani, Anthony,543101,2021,31,167.2,2558,
Eovaldi, Nathan,543135,2021,32,182.1,2927,
Gray, Sonny,543243,2021,26,135.1,2228,
Hand, Brad,543272,2021,68,64.2,1076,
Hendricks, Kyle,543294,2021,32,181.0,2809,
Hudson, Daniel,543339,2021,54,51.2,865,
Lyles, Jordan,543475,2021,32,180.0,2964,
May, Trevor,543507,2021,68,62.2,1117,
McHugh, Collin,543521,2021,37,64.0,972,
Odorizzi, Jake,543606,2021,24,104.2,1847,
Shaw, Bryan,543766,2021,81,77.1,1367,
Familia, Jeurys,544727,2021,65,59.1,1017,
Bauer, Trevor,545333,2021,17,107.2,1787,
Kim, Kwang Hyun,547942,2021,27,106.2,1784,
Ryu, Hyun Jin,547943,2021,31,169.0,2689,
Chapman, Aroldis,547973,2021,61,56.1,1004,
Raley, Brooks,548384,2021,58,49.0,865,
Stripling, Ross,548389,2021,24,101.1,1686,
Kittredge, Andrew,552640,2021,57,71.2,982,
Garcia, Yimi,554340,2021,62,57.2,943,
Wheeler, Zack,554430,2021,32,213.1,3205,
Matzek, Tyler,554431,2021,69,63.0,1065,
Rodriguez, Joely,570257,2021,52,46.1,775,
Valdez, Phillips,570488,2021,28,40.0,684,
