last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Mejia, Francisco,642336,2022,299,70,6,21.7,.000,5.8,28,61.2,42.2,36,21.8,
Siri, Jose,642350,2022,325,64,7,33.2,.006,5.2,33,51.7,38.1,37.1,24.7,
Rosario, Amed,642708,2022,670,180,11,16.6,.007,5.5,38.3,53.1,30.4,40.6,29.1,
Adames, Willy,642715,2022,617,134,31,26.9,.000,6.5,43.6,49.6,37.7,36.7,25.7,
Estrada, Thairo,642731,2022,541,127,14,16.5,.014,4.7,31.1,49.2,40,37.5,22.5,
Benintendi, Andrew,643217,2022,521,140,5,14.8,.031,6.2,38.7,48.2,29,41,30,
Cooper, Garrett,643265,2022,469,108,9,25.4,.001,8.3,43.7,45.2,33.3,39.7,27,
Dubon, Mauricio,643289,2022,265,52,5,11.3,-0.026,5.9,29.9,55.7,34.4,43,22.6,
Kemp, Tony,643393,2022,558,117,7,12.4,.016,4.1,14.9,48.9,39,38.1,22.9,
Kiner-Falefa, Isiah,643396,2022,531,126,4,13.6,-0.001,4.3,30.1,44.7,31.5,38.9,29.6,
McNeil, Jeff,643446,2022,589,174,9,10.4,.046,5.2,30.2,53.8,33.3,39.8,26.8,
Schwindel, Frank,643524,2022,292,62,8,19.9,-0.001,7.9,35.5,54.7,42.3,34.4,23.3,
Albies, Ozzie,645277,2022,269,61,8,17.5,.008,6.9,26.5,58.2,46.6,35.3,18.1,
Robles, Victor,645302,2022,407,82,6,25.6,.021,3.2,23.8,53.8,40.1,36.1,23.8,
Devers, Rafael,646240,2022,614,164,27,18.6,.013,7.7,50.9,54.6,28.2,44.8,27,
Naylor, Josh,647304,2022,498,115,20,16.1,-0.001,6.4,42.8,51,42,37.2,20.9,
Toro, Abraham,647351,2022,352,60,10,18.5,-0.041,4.6,29.7,47.3,42.2,36.1,21.7,
