last_name, first_name,player_id,year,b_total_pa,launch_angle_avg,
Jones, Taylor,622100,2021,108,12.8,
Duffy, Matt,622110,2021,322,7.5,
Walton, Donovan,622268,2021,69,9.4,
Castillo, Luis,622491,2021,59,0.8,
Margot, Manuel,622534,2021,464,10.7,
Reyes, Pablo,622569,2021,87,15,
Senzatela, Antonio,622608,2021,51,-4.2,
Reyes, Victor,622682,2021,220,6.6,
Mateo, Jorge,622761,2021,209,14.1,
Velazquez, Andrew,623205,2021,68,9.5,
Bote, David,623520,2021,327,9.8,
Ramirez, Harold,623912,2021,361,6.2,
Santander, Anthony,623993,2021,438,18,
Alonso, Pete,624413,2021,637,14.7,
Arroyo, Christian,624414,2021,181,9.4,
Biggio, Cavan,624415,2021,294,15.6,
Conforto, Michael,624424,2021,479,13.2,
Frazier, Adam,624428,2021,639,12.6,
Trevino, Jose,624431,2021,302,9.5,
Gordon, Nick,624503,2021,216,9.4,
McGuire, Reese,624512,2021,217,13.4,
Nunez, Dom,624513,2021,263,21.9,
Soler, Jorge,624585,2021,602,15.7,
Sosa, Edmundo,624641,2021,326,6,
Heredia, Guillermo,628338,2021,347,12.7,
Hernandez, Yadiel,628450,2021,289,5.2,
Ibanez, Andy,628451,2021,272,15.5,
Urias, Julio,628711,2021,70,8.4,
Cronenworth, Jake,630105,2021,643,12.5,
Frazier, Jackson,640449,2021,218,13.9,
Meadows, Austin,640457,2021,591,21.7,
Mercado, Oscar,640458,2021,238,16.4,
Pinder, Chad,640461,2021,233,7.4,
Anderson, Tim,641313,2021,551,4.3,
Bauers, Jake,641343,2021,315,20,
Bellinger, Cody,641355,2021,350,22.2,
Calhoun, Willie,641432,2021,284,14.9,
Collins, Zack,641470,2021,231,20.9,
Crawford, J.P.,641487,2021,687,9.8,
Davis, Jonathan,641505,2021,103,7.7,
Dozier, Hunter,641531,2021,543,15.8,
Engel, Adam,641553,2021,140,14.4,
Fargas, Johneshwy,641561,2021,54,6.8,
Fraley, Jake,641584,2021,265,12.1,
Garver, Mitch,641598,2021,243,19,
Guillorme, Luis,641645,2021,156,4.7,
Hampson, Garrett,641658,2021,494,13,
Heim, Jonah,641680,2021,285,15.5,
Lewis, Kyle,641786,2021,147,16.8,
Locastro, Tim,641796,2021,156,14.3,
Mahle, Tyler,641816,2021,66,-9.9,
Mancini III, Trey,641820,2021,616,9.7,
Martin, Jason,641829,2021,154,11.4,
McKinney, Billy,641856,2021,300,17.6,
McMahon, Ryan,641857,2021,596,14.3,
Neuse, Sheldon,641914,2021,66,13.2,
O'Neill, Tyler,641933,2021,537,17.8,
Sisco, Chance,642082,2021,83,13.8,
Smith, Dominic,642086,2021,493,14.9,
Tellez, Rowdy,642133,2021,325,13.4,
Valaika, Pat,642162,2021,281,19.8,
VanMeter, Josh,642165,2021,310,19.6,
Wade, Tyler,642180,2021,145,5.3,
White, Eli,642201,2021,220,15.6,
Williams, Justin,642211,2021,137,3.9,
Wong, Kean,642221,2021,66,5.7,
Mejia, Francisco,642336,2021,277,14.9,
Sierra, Magneuris,642423,2021,225,7.7,
