last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,f_strike_percent,
Santana, Dennis,642701,2022,58.2,21.2,11.0,52.8,
Acevedo, Domingo,642758,2022,67.2,21.8,6.4,59.9,
Cimber, Adam,643256,2022,70.2,19.8,4.4,65.1,
Jax, Griffin,643377,2022,72.1,26.9,6.9,64.9,
Leiter Jr., Mark,643410,2022,67.2,25.9,8.9,59.6,
Pruitt, Austin,643493,2022,55.1,17.0,4.0,67.9,
Rogers, Tyler,643511,2022,75.2,15.4,7.2,63.9,
Arano, Victor,644364,2022,42.0,23.5,6.4,65.2,
Alcantara, Sandy,645261,2022,228.2,23.4,5.6,62.5,
Pop, Zach,647315,2022,39.0,15.9,2.5,61.1,
Abreu, Bryan,650556,2022,60.1,35.5,10.5,56.5,
King, Michael,650633,2022,51.0,33.2,8.0,64.5,
Civale, Aaron,650644,2022,97.0,24.1,5.4,63.4,
Quijada, Jose,650671,2022,40.2,30.8,12.4,63,
Cabrera, Genesis,650893,2022,44.2,16.5,10.3,64.2,
Castillo, Diego,650895,2022,54.1,23.9,9.9,57.3,
Sanchez, Cristopher,650911,2022,40.0,19.8,9.6,57.1,
Abreu, Albert,656061,2022,38.2,22.1,12.8,57,
Beeks, Jalen,656222,2022,61.0,28.0,8.8,64.8,
Bird, Jake,656234,2022,47.2,19.9,10.9,53.1,
Burke, Brock,656271,2022,82.1,27.4,7.3,60.2,
Cease, Dylan,656302,2022,184.0,30.4,10.4,58.2,
Davidson, Tucker,656353,2022,52.0,13.6,14.4,53.5,
Davis, Austin,656354,2022,56.0,24.2,12.5,56.7,
Faedo, Alex,656412,2022,53.2,18.0,10.2,60.7,
Flaherty, Jack,656427,2022,36.0,19.8,13.2,54.5,
Gilbreath, Lucas,656458,2022,43.0,26.2,13.9,59.4,
Hentges, Sam,656529,2022,62.0,29.4,7.8,61.5,
Hoffman, Jeff,656546,2022,44.2,22.8,11.7,52.8,
Houck, Tanner,656557,2022,60.0,22.7,8.9,52,
Keller, Mitch,656605,2022,159.0,20.1,8.7,56.8,
Kopech, Michael,656629,2022,119.1,21.3,11.5,56.7,
Lange, Alex,656638,2022,63.1,30.3,11.4,54.8,
Logue, Zach,656657,2022,57.0,16.3,7.8,51,
Martin, Brett,656685,2022,50.0,18.9,8.5,64.1,
Megill, Trevor,656730,2022,45.0,25.0,8.7,63.3,
Megill, Tylor,656731,2022,47.1,25.5,6.5,63,
Montgomery, Jordan,656756,2022,178.1,21.8,5.0,65.7,
Nelson, Nick,656793,2022,68.2,22.5,11.8,58.8,
Peterson, David,656849,2022,105.2,27.8,10.6,52.5,
Rasmussen, Drew,656876,2022,146.0,21.4,5.3,62.7,
Scott, Tanner,656945,2022,62.2,31.1,15.9,54.9,
Smeltzer, Devin,656970,2022,70.1,13.9,6.6,60.6,
Steele, Justin,657006,2022,119.0,24.6,9.8,59.8,
Swanson, Erik,657024,2022,53.2,34.0,4.9,65.5,
Thompson, Ryan,657044,2022,42.2,21.5,6.1,59.8,
Watkins, Spenser,657093,2022,105.1,13.7,6.5,65.8,
Wright, Kyle,657140,2022,180.1,23.6,7.2,64.6,
Otto Jr., Glenn,657248,2022,135.2,18.2,10.6,53.5,
Webb, Logan,657277,2022,192.1,20.7,6.2,65.3,
Schmidt, Clarke,657376,2022,57.2,23.7,9.7,58.3,
Hill, Tim,657612,2022,48.0,12.6,7.0,55.1,
Koenig, Jared,657649,2022,39.1,12.4,8.5,56.5,
Ryan, Joe,657746,2022,147.0,25.0,7.8,64.4,
Ohtani, Shohei,660271,2022,166.0,33.2,6.7,60.6,
Suarez, Jose,660761,2022,109.0,22.3,7.1,64.5,
Graterol, Brusdar,660813,2022,49.2,21.8,5.1,66.3,
De Los Santos, Enyel,660853,2022,53.1,28.4,7.9,65.4,
Gutierrez, Vladimir,661269,2022,36.2,16.2,13.4,54.7,
Martinez, Adrian,661309,2022,57.2,20.5,7.3,59.1,
Duran, Jhoan,661395,2022,67.2,33.5,6.0,64,
Clase, Emmanuel,661403,2022,72.2,28.4,3.7,65.1,
Martinez, Seth,661527,2022,38.2,24.5,9.0,67.5,
Munoz, Andres,662253,2022,65.0,38.7,6.0,68.4,
Suarez, Robert,663158,2022,47.2,31.9,11.0,60.7,
Feltner, Ryan,663372,2022,97.1,19.6,8.2,57,
Thornton, Trent,663423,2022,46.0,19.6,9.0,66.7,
Martin, Davis,663436,2022,63.1,17.8,7.1,61.3,
Pilkington, Konnor,663455,2022,58.0,19.4,12.4,54.3,
Bubic, Kris,663460,2022,129.0,18.7,10.7,58.9,
McKenzie, Triston,663474,2022,191.1,25.6,5.9,62.5,
McClanahan, Shane,663556,2022,166.1,30.3,5.9,62.8,
Moran, Jovani,663558,2022,40.2,32.9,11.0,56.1,
Falter, Bailey,663559,2022,84.0,21.2,4.9,66.2,
Lynch, Daniel,663738,2022,131.2,20.3,8.7,58.9,
Woodford, Jake,663765,2022,48.1,12.8,5.9,60.4,
Sandoval, Patrick,663776,2022,148.2,23.7,9.4,58,
Hicks, Jordan,663855,2022,61.1,24.0,13.3,58.2,
Singer, Brady,663903,2022,153.1,24.2,5.6,60.2,
Stephan, Trevor,663986,2022,63.2,30.7,6.7,64.7,
Gonsolin, Tony,664062,2022,130.1,23.9,7.0,63.3,
Effross, Scott,664123,2022,56.2,27.1,6.6,66.8,
Gibaut, Ian,664139,2022,36.0,30.0,11.3,54.7,
Brubaker, JT,664141,2022,144.0,22.8,8.4,63.9,
Swarmer, Matt,664161,2022,34.0,23.5,13.1,50.3,
Clarke, Taylor,664199,2022,49.0,23.6,3.9,66.5,
Maton III, Phil,664208,2022,65.2,26.0,8.5,58.5,
Valdez, Framber,664285,2022,201.1,23.5,8.1,59.3,
Moreta, Dauri,664294,2022,38.1,24.4,8.1,62.3,
Javier, Cristian,664299,2022,148.2,33.2,8.9,55.9,
Urquidy, Jose,664353,2022,164.1,19.7,5.6,65.5,
Diaz, Alexis,664747,2022,63.2,32.5,12.9,61.1,
Helsley, Ryan,664854,2022,64.2,39.3,8.4,63.4,
Lawrence, Justin,664875,2022,42.2,25.1,11.5,61.3,
Kremer, Dean,665152,2022,125.1,17.0,6.6,65.2,
Garcia, Rony,665621,2022,51.0,23.3,6.3,60.2,
Sanmartin, Reiver,665665,2022,57.0,18.4,11.3,58.7,
Cabrera, Edward,665795,2022,71.2,25.8,11.3,56,
Assad, Javier,665871,2022,37.2,18.1,12.0,59.6,
Anderson, Ian,666120,2022,111.2,19.7,11.0,56.8,
Garrett, Braxton,666129,2022,88.0,24.1,6.4,66,
Ragans, Cole,666142,2022,40.0,15.5,9.2,60.3,
Lodolo, Nick,666157,2022,103.1,29.7,8.8,67.3,
Manning, Matt,666159,2022,63.0,18.3,7.2,57.4,
Luzardo, Jesus,666200,2022,100.1,30.0,8.8,65.3,
Manoah, Alek,666201,2022,196.2,22.9,6.5,61.8,
Brash, Matt,666374,2022,50.2,27.9,14.9,61.1,
Castillo, Max,666721,2022,39.1,21.8,8.8,60.6,
Doval, Camilo,666808,2022,67.2,28.0,10.5,54.2,
Nance, Tommy,667297,2022,43.2,29.1,10.7,59.1,
Jackson, Zach,667427,2022,48.0,33.2,16.3,53,
King, John,667463,2022,51.1,13.5,6.3,60.3,
Plesac, Zach,668676,2022,131.2,17.6,6.7,61.4,
Gallen, Zac,668678,2022,184.0,26.9,6.6,64.6,
Greene, Hunter,668881,2022,125.2,30.9,9.0,64.4,
Ashcraft, Graham,668933,2022,105.0,15.3,6.5,58.4,
McCarty, Kirk,668948,2022,37.2,16.4,8.2,66.7,
Gore, MacKenzie,669022,2022,70.0,23.3,12.0,61.2,
