last_name, first_name,player_id,year,sl_avg_speed,sl_avg_break,ch_avg_speed,ch_avg_break,cu_avg_speed,cu_avg_break,si_avg_speed,si_avg_break,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_break,
Walker, Taijuan,592836,2022,84.8,8.4,,,75,13.6,92.9,20.1,2329,12.3,88.8,11.3,
Wick, Rowan,592858,2022,82.2,12.9,82.9,13,76.8,20,91.7,17.8,2240,15,,,
Williams, Trevor,592866,2022,83.2,6.5,84.4,14.9,78.6,12.5,89,16.1,,,,,
German, Domingo,593334,2022,,,85.9,20.1,81,4.2,92.7,19.9,,,,,
Montas, Frankie,593423,2022,87.2,7.3,,,,,95.6,19.4,2397,7.8,86.4,12.8,
Neris, Hector,593576,2022,87.6,6.3,,,,,94.5,21,,,85.1,11.2,
Rodriguez, Eduardo,593958,2022,82.7,4.5,85.5,18.1,,,91.7,17.5,2192,10,,,
Peralta, Wandy,593974,2022,87.6,5.1,88.6,18.3,,,95.4,19.7,,,,,
Mayers, Mike,594577,2022,84.4,4.6,86.7,17,77.2,14.4,92,18,2288,8.1,,,
Moll, Sam,594580,2022,81.7,17.7,,,,,93.3,14.1,,,,,
deGrom, Jacob,594798,2022,92.6,6.6,92,15.1,83.4,8,,,,,,,
Gonzales, Marco,594835,2022,,,79.4,18.8,76.6,14.6,,,2030,11.9,,,
Okert, Steven,595345,2022,82,11.8,,,,,,,,,,,
Beede, Tyler,595881,2022,88,3.9,84.8,16.2,79.1,15.3,95.6,18.2,,,,,
Junis, Jakob,596001,2022,83.1,13.7,84.7,11.5,,,91.9,15.6,2427,8.1,,,
Norris, Daniel,596057,2022,79.9,13.8,86.7,13.5,76.1,15,90.9,19,,,,,
Peters, Dillon,596071,2022,84.7,4.6,84.8,16.2,77.3,15.9,92.5,18.5,,,,,
Stephenson, Robert,596112,2022,83.9,6.4,,,77.5,15.9,,,,,88.1,13.7,
Weaver, Luke,596133,2022,84.6,8.2,86.9,16,80.1,10.6,94.7,22.5,2327,8.6,,,
Gomber, Austin,596295,2022,84.3,6.4,82,14.5,75.8,15.7,,,,,,,
Barnes, Matt,598264,2022,,,87.2,20.1,84.1,11,,,,,,,
Ramirez, Noe,598287,2022,,,84.1,15.2,78,10.2,,,,,,,
Leclerc, Jose,600917,2022,83.3,10.2,89.7,17.6,,,,,2784,6.9,,,
Machado, Andres,600921,2022,87.1,6.4,88.9,12.9,,,95,19.4,,,,,
Pivetta, Nick,601713,2022,85.8,8,87.1,12.3,77.2,20.2,,,,,,,
Barlow, Scott,605130,2022,84.1,8.4,,,78.6,18.5,92.6,15.1,,,,,
Bassitt, Chris,605135,2022,78.9,13.4,85.4,17.9,71.6,20.4,92.8,18.8,2262,9.4,,,
Brebbia, John,605154,2022,84,7.2,,,,,,,,,,,
Bundy, Dylan,605164,2022,79.1,6.2,81.1,13.9,72.2,13.8,89.7,21.1,,,,,
Chafin, Andrew,605177,2022,82.9,2.3,84.7,18.5,,,91.6,19.4,,,,,
Clevinger, Mike,605182,2022,79.9,15.9,86.3,17.9,76.8,13,93.2,20.7,2472,7.8,,,
Cotton, Jharel,605194,2022,79.5,13.3,79.7,15.1,76.2,16,,,,,,,
Davies, Zach,605200,2022,76,16.7,79.7,16.6,74.7,16.8,89.6,19.7,2148,14.3,,,
Edwards Jr., Carl,605218,2022,,,90.6,16.2,80.2,13.1,,,,,,,
Fulmer, Michael,605242,2022,90.3,8.5,86.5,14.1,78.9,18,94.5,18.5,,,,,
Holmes, Clay,605280,2022,86,12,,,,,97,17.8,,,,,
Houser, Adrian,605288,2022,85,7.1,85.4,16.8,81.1,15.5,93.8,18.4,,,,,
Lopez, Jorge,605347,2022,87.4,9,90,16.3,84.1,15.2,97.7,19.1,,,,,
Musgrove, Joe,605397,2022,82.9,13.2,86.5,12.4,81.3,16.8,92.4,15.7,2581,9.4,,,
Nola, Aaron,605400,2022,,,85.9,15.9,78.6,18.1,92.2,19.6,2212,7.5,,,
Romano, Jordan,605447,2022,87.3,5.2,,,,,96.5,22.7,,,,,
Snell, Blake,605483,2022,88.9,6.8,87.1,17.1,81.4,15.6,,,,,,,
Springs, Jeffrey,605488,2022,85.4,7.5,81.1,15.8,,,90.1,23.6,,,,,
Thompson, Zach,605507,2022,,,85.7,13.7,76.6,11.4,92.2,12.8,2580,5.7,,,
Warren, Art,605521,2022,85.5,9,,,,,,,,,,,
Wisler, Matt,605538,2022,79.8,8.6,,,,,,,,,,,
Woodruff, Brandon,605540,2022,88,5.6,86.1,18.3,84,8.1,95.8,19.8,,,,,
Gallegos, Giovanny,606149,2022,85.5,2.4,87.1,19.6,,,,,,,,,
Montero, Rafael,606160,2022,87.9,7.5,91.1,18,,,95.9,18.5,,,,,
Payamps, Joel,606303,2022,82.2,11.4,88.9,17.2,,,94.3,18.2,,,,,
Garcia, Jarlin,606424,2022,82.7,6.5,85.2,19.1,,,,,,,,,
Moronta, Reyes,606625,2022,82.1,13.2,89,18.1,,,,,,,,,
Rodon, Carlos,607074,2022,85.4,8.6,84.6,17.8,79.8,14,,,,,,,
Weems, Jordan,607179,2022,88.2,7,87.3,12.5,80.1,16.7,,,,,,,
Fedde, Erick,607200,2022,,,86,15,78.4,15.2,92.5,13.4,2123,8.2,,,
Krehbiel, Joey,607216,2022,79.8,13.5,84.3,14.5,,,,,2465,8.8,,,
Garrett, Amir,607237,2022,84.7,6,,,,,93.4,19.2,,,,,
Martinez, Nick,607259,2022,,,79.7,14.5,81.7,17.3,93.3,20.6,2380,8.2,,,
Freeland, Kyle,607536,2022,85.5,5.1,84.8,13.3,80.9,8.4,89.6,14.7,,,,,
Lugo, Seth,607625,2022,88.9,7.6,87.6,18.2,79.8,20.4,94.4,20.1,,,,,
Estevez, Carlos,608032,2022,87.3,5.6,88.4,13.1,,,,,,,,,
De Jong, Chase,608328,2022,83.6,5.2,86.4,16.6,77.7,15.3,93.4,22.5,,,,,
Fried, Max,608331,2022,87.3,4.7,86.5,13.8,74.3,19.1,93.6,14.8,,,,,
Giolito, Lucas,608337,2022,84.4,4.4,81,16.2,79.2,14.6,,,,,,,
Irvin, Cole,608344,2022,86.7,19.8,83,15.4,77.5,10.2,90.3,18.9,2012,8.6,,,
Knebel, Corey,608349,2022,79.6,19.5,,,78.7,20.5,,,,,,,
Wacha, Michael,608379,2022,,,84.3,18,74.7,14.3,92.6,20.4,2052,11.5,,,
Marquez, German,608566,2022,87.7,5,87.8,13.2,86.5,3.3,95.1,17.1,,,,,
Duffey, Tyler,608648,2022,,,79.1,16.5,82.7,13.2,92.4,16.1,,,,,
Graveman, Kendall,608665,2022,88.7,6.6,90.7,15,83.3,9.1,96.5,18.8,,,,,
Leone, Dominic,608678,2022,85.1,6.2,,,,,94.8,16.1,2404,8.8,,,
Stratton, Chris,608717,2022,86.7,7.4,86.8,12.4,80.8,18.2,92.9,16.3,,,,,
Suter, Brent,608718,2022,,,77.2,15.1,78.8,6.7,87.4,16.2,,,,,
Voth, Austin,608723,2022,83.6,14.9,87.2,17.3,77.5,19.6,,,2442,8.3,,,
Ruiz, Jose,614179,2022,,,89.9,17.5,86.3,6.1,96,17.3,,,,,
Quantrill, Cal,615698,2022,,,85.3,14.6,82.7,5.4,93.6,19.3,2238,8,,,
Sawamura, Hirokazu,617228,2022,85.8,9.5,,,,,,,,,92,9.5,
Cuas, Jose,621016,2022,82.1,4.8,87.2,14.5,,,93.1,17.2,,,,,
Wilson, Steven,621051,2022,82.2,12.3,85.1,18.8,,,,,,,,,
Rucker, Michael,621074,2022,86.4,5.1,90,15.4,80.6,18.6,,,2250,16.9,,,
Kaprielian, James,621076,2022,85,7.6,85.2,9.2,79.3,11.5,94.4,19.2,,,,,
Eflin, Zach,621107,2022,85.6,8.2,87,16.5,78.3,13.3,92.7,18.7,2150,11.7,,,
Buehler, Walker,621111,2022,83.5,14.5,90.5,14.9,79.2,18,94.9,18,2411,10.5,,,
Blackburn, Paul,621112,2022,79.1,17.9,86,15.2,78.8,18.5,91.7,16.3,2484,8.2,,,
McCullers Jr., Lance,621121,2022,85.1,14.3,87,17.5,82.7,17.2,93.1,14.8,2567,7.2,,,
Alvarado, Jose,621237,2022,,,,,86.5,6.9,99.6,19.5,2207,6.4,,,
Diaz, Edwin,621242,2022,90.8,4.8,,,,,95.2,20.8,,,,,
Berrios, Jose,621244,2022,,,84.6,15.4,82.9,16.5,93.9,19.7,,,,,
Garza Jr., Ralph,621248,2022,77.5,16.5,83.1,17.8,80,9.1,87.8,16.4,2247,15.1,,,
Underwood Jr., Duane,621249,2022,,,89.6,16.2,82.7,13.4,95.3,18.2,2096,7.4,,,
Minter, A.J.,621345,2022,,,87.6,16.7,,,,,2603,7,,,
Poche, Colin,621363,2022,82.1,12,,,78.8,19.2,,,,,,,
Hearn, Taylor,621368,2022,84.9,4.2,87.6,14.5,,,93.8,19.3,2261,8.9,,,
Strahm, Matt,621381,2022,88.6,7.8,88.2,20,82.7,6.6,94,21.1,,,,,
Banks, Tanner,621383,2022,86.7,7.1,84.9,12.4,82.1,14,,,,,,,
Blach, Ty,621389,2022,,,80.7,16,79.2,8.3,91.1,16.8,2357,4.8,,,
Wood, Alex,622072,2022,84.5,4.9,85.7,14.3,,,92.4,18.9,,,,,
Smith, Drew,622098,2022,85.4,8.5,85.2,19.6,77.7,18.6,95.6,20.7,,,,,
Staumont, Josh,622251,2022,,,,,82.2,15.1,97.1,19.2,,,,,
Tate, Dillon,622253,2022,80.4,11.9,83.9,17.7,,,94,18.3,,,,,
Castillo, Luis,622491,2022,86.5,2.4,88.4,17.6,,,96.9,18.9,,,,,
Crismatt, Nabil,622503,2022,84.7,6,82.7,13.6,73.2,19,90,18.2,,,,,
Dominguez, Seranthony,622554,2022,89.5,7,92,17.1,,,98.2,18.2,2473,10,,,
Senzatela, Antonio,622608,2022,86.1,5.7,87,11.7,78.2,8.8,92.8,16.7,,,,,
Severino, Luis,622663,2022,85.2,11.1,88.8,17,,,96,21,2421,7.8,,,
Hernandez, Elieser,622694,2022,80.1,15.2,84.6,19,,,92,19.6,,,,,
Sewald, Paul,623149,2022,82.8,15.1,,,,,,,,,,,
Flexen, Chris,623167,2022,80.9,9.5,81.1,15.5,74.6,17.4,,,2355,10,,,
Hader, Josh,623352,2022,84,4.9,88.6,15.7,,,97.4,19.7,,,,,
Stephens, Jackson,623451,2022,86.9,5.4,85.9,8.7,76.8,19.5,94,18,,,,,
Phillips, Evan,623465,2022,85.3,15.6,,,,,96.2,17.4,2401,9.6,,,
Herget, Jimmy,623474,2022,83.2,6.2,84.3,9.7,74.8,17.5,90.4,18.3,,,,,
Suarez, Ranger,624133,2022,82.5,7.4,84.9,16.1,76.5,13.3,92.5,17.4,2010,8.1,,,
Thompson, Keegan,624522,2022,83.9,13.1,86.1,18.3,81.3,16,92.8,18.2,2552,10,,,
