last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Delay, Jason,641511,2022,167,1.99,
Demeritte, Travis,641513,2022,96,,
Dozier, Hunter,641531,2022,500,,
Engel, Adam,641553,2022,260,,
Fraley, Jake,641584,2022,247,,
Garver, Mitch,641598,2022,215,2.05,
Guillorme, Luis,641645,2022,335,,
Hampson, Garrett,641658,2022,226,,
Heim, Jonah,641680,2022,450,1.99,
Hermosillo, Michael,641684,2022,73,,
Leblanc, Charles,641779,2022,169,,
Lewis, Kyle,641786,2022,62,,
Mancini III, Trey,641820,2022,587,,
McKinney, Billy,641856,2022,57,,
McMahon, Ryan,641857,2022,597,,
Neuse, Sheldon,641914,2022,293,,
O'Neill, Tyler,641933,2022,383,,
Robinson, Chuckie,642020,2022,60,1.9,
Smith, Dominic,642086,2022,152,,
Tellez, Rowdy,642133,2022,599,,
Thaiss, Matt,642136,2022,81,1.99,
VanMeter, Josh,642165,2022,192,,
Wade, Tyler,642180,2022,163,,
White, Eli,642201,2022,117,,
Mejia, Francisco,642336,2022,299,1.95,
Siri, Jose,642350,2022,325,,
Sierra, Magneuris,642423,2022,96,,
Barrera, Luis,642456,2022,85,,
Rosario, Amed,642708,2022,670,,
Adames, Willy,642715,2022,617,,
Alcantara, Sergio,642727,2022,224,,
Estrada, Thairo,642731,2022,541,,
Wynns, Austin,642851,2022,177,2.04,
Benintendi, Andrew,643217,2022,521,,
Cooper, Garrett,643265,2022,469,,
Dubon, Mauricio,643289,2022,265,,
Jansen, Danny,643376,2022,248,1.98,
Kemp, Tony,643393,2022,558,,
Kiner-Falefa, Isiah,643396,2022,531,,
McNeil, Jeff,643446,2022,589,,
Schwindel, Frank,643524,2022,292,,
Chang, Yu,644374,2022,190,,
Albies, Ozzie,645277,2022,269,,
Robles, Victor,645302,2022,407,,
Herrera, Jose,645444,2022,124,1.93,
Ford, Mike,645801,2022,149,,
Devers, Rafael,646240,2022,614,,
Naylor, Josh,647304,2022,498,,
Toro, Abraham,647351,2022,352,,
Diaz, Aledmys,649557,2022,327,,
Urias, Luis,649966,2022,472,,
Diaz, Lewin,650331,2022,174,,
Arraez, Luis,650333,2022,603,,
Palacios, Jermaine,650339,2022,77,,
Jimenez, Eloy,650391,2022,327,,
Torres, Gleyber,650402,2022,572,,
Castro, Willi,650489,2022,392,,
Diaz, Yandy,650490,2022,558,,
De La Cruz, Bryan,650559,2022,355,,
Viloria, Meibrys,650619,2022,75,1.93,
Rengifo, Luis,650859,2022,511,,
Pinto, Rene,650907,2022,83,1.89,
Adams, Riley,656180,2022,155,1.95,
Allen, Greg,656185,2022,134,,
Bouchard, Sean,656248,2022,97,,
Chapman, Matt,656305,2022,621,,
Chavis, Michael,656308,2022,426,,
Fairchild, Stuart,656413,2022,110,,
Garrett, Stone,656448,2022,84,,
Hill, Derek,656537,2022,92,,
Hilliard, Sam,656541,2022,200,,
Hoskins, Rhys,656555,2022,672,,
Joe, Connor,656582,2022,467,,
Luplow, Jordan,656669,2022,234,,
Matijevic, J.J.,656695,2022,71,,
McKinstry, Zach,656716,2022,185,,
Mullins II, Cedric,656775,2022,672,,
O'Hearn, Ryan,656811,2022,145,,
Rivera, Emmanuel,656896,2022,359,,
Schwarber, Kyle,656941,2022,669,,
Smith, Pavin,656976,2022,277,,
Thomas, Lane,657041,2022,548,,
Tucker, Cole,657061,2022,63,,
Verdugo, Alex,657077,2022,644,,
Wong, Connor,657136,2022,56,1.92,
