last_name, first_name,player_id,year,b_total_pa,isolated_power,
Encarnacion, Jerar,666464,2022,81,.156,
Morel, Christopher,666624,2022,425,.198,
Castro, Rodolfo,666801,2022,278,.194,
Dalbec, Bobby,666915,2022,353,.155,
Garcia, Adolis,666969,2022,657,.207,
Gurriel Jr., Lourdes,666971,2022,493,.108,
Arozarena, Randy,668227,2022,645,.183,
Pratto, Nick,668472,2022,182,.203,
Barrera, Tres,668663,2022,53,.020,
Bleday, JJ,668709,2022,238,.142,
Steer, Spencer,668715,2022,108,.116,
Baddoo, Akil,668731,2022,225,.065,
Mitchell, Cal,668751,2022,232,.123,
Knizner, Andrew,668800,2022,293,.085,
Reynolds, Bryan,668804,2022,614,.199,
Capel, Conner,668843,2022,59,.212,
Rutschman, Adley,668939,2022,470,.191,
Rojas, Josh,668942,2022,510,.122,
Kreidler, Ryan,668952,2022,84,.055,
Mitchell, Garrett,669003,2022,68,.148,
Melendez Jr., MJ,669004,2022,534,.176,
Marsh, Brandon,669016,2022,461,.139,
Stowers, Kyle,669065,2022,98,.165,
Huff, Sam,669087,2022,132,.132,
Langeliers, Shea,669127,2022,153,.211,
Campusano, Luis,669134,2022,50,.083,
Murphy, Sean,669221,2022,612,.177,
Senzel, Nick,669222,2022,420,.075,
Edman, Tommy,669242,2022,630,.135,
Solak, Nick,669256,2022,95,.122,
Smith, Will,669257,2022,578,.205,
Suwinski, Jack,669261,2022,372,.209,
Espinal, Santiago,669289,2022,491,.102,
Miranda, Jose,669304,2022,483,.158,
Thompson, Bubba,669352,2022,181,.047,
Gorman, Nolan,669357,2022,313,.194,
Hiura, Keston,669374,2022,266,.222,
Burger, Jake,669394,2022,183,.208,
Allen, Nick,669397,2022,326,.084,
Hummel, Cooper,669450,2022,201,.131,
Smith, Josh H.,669701,2022,253,.052,
Hays, Austin,669720,2022,582,.163,
Hall, Darick,669742,2022,142,.272,
Call, Alex,669743,2022,131,.175,
Toglia, Michael,669911,2022,120,.162,
Lopez, Nicky,670032,2022,480,.046,
Raley, Luke,670042,2022,72,.082,
Wallner, Matt,670242,2022,65,.158,
Stevenson, Cal,670276,2022,71,.050,
Rojas, Jose,670351,2022,57,.036,
Alvarez, Yordan,670541,2022,561,.306,
Paredes, Isaac,670623,2022,381,.230,
Brosseau, Mike,670712,2022,160,.163,
Walls, Taylor,670764,2022,466,.113,
Gonzalez, Luis,670768,2022,350,.106,
Friedl Jr., TJ,670770,2022,258,.196,
Soto, Livan,670869,2022,59,.182,
Kennedy, Buddy,671083,2022,94,.108,
Casas, Triston,671213,2022,95,.211,
Waters, Drew,671221,2022,109,.240,
Garcia, Luis,671277,2022,377,.133,
Freeman, Tyler,671289,2022,86,.039,
Harris II, Michael,671739,2022,441,.217,
Kelenic, Jarred,672284,2022,181,.172,
Arias, Gabriel,672356,2022,57,.128,
Kirk, Alejandro,672386,2022,541,.130,
Diaz, Jordan,672478,2022,51,.061,
Moreno, Gabriel,672515,2022,73,.058,
